dataset_size,model,accuracy,f1_score,precision,recall
0.1,Random Forest (Baseline),0.775,0.6817053571428572,0.82852422907489,0.775
0.1,Random Forest (Augmented),0.7666666666666667,0.6699166666666667,0.5961820851688694,0.7666666666666667
0.2,Random Forest (Baseline),0.7666666666666667,0.6699166666666667,0.5961820851688694,0.7666666666666667
0.2,Random Forest (Augmented),0.775,0.6817053571428572,0.82852422907489,0.775
0.3,Random Forest (Baseline),0.7666666666666667,0.6699166666666667,0.5961820851688694,0.7666666666666667
0.3,Random Forest (Augmented),0.7625,0.6751067326986295,0.6543526785714285,0.7625
0.4,Random Forest (Baseline),0.7666666666666667,0.6699166666666667,0.5961820851688694,0.7666666666666667
0.4,Random Forest (Augmented),0.7666666666666667,0.6773118465892681,0.6742222222222222,0.7666666666666667
0.5,Random Forest (Baseline),0.7583333333333333,0.6657872696817421,0.5946296296296296,0.7583333333333333
0.5,Random Forest (Augmented),0.7708333333333334,0.6795112781954887,0.7131821533923303,0.7708333333333334
0.6,Random Forest (Baseline),0.7666666666666667,0.6699166666666667,0.5961820851688694,0.7666666666666667
0.6,Random Forest (Augmented),0.7708333333333334,0.6865064964635899,0.7148623511904761,0.7708333333333334
0.7,Random Forest (Baseline),0.7666666666666667,0.6699166666666667,0.5961820851688694,0.7666666666666667
0.7,Random Forest (Augmented),0.7708333333333334,0.6795112781954887,0.7131821533923303,0.7708333333333334
0.8,Random Forest (Baseline),0.7625,0.6678571428571428,0.5954092920353983,0.7625
0.8,Random Forest (Augmented),0.7625,0.6678571428571428,0.5954092920353983,0.7625
0.9,Random Forest (Baseline),0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
0.9,Random Forest (Augmented),0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
1.0,Random Forest (Baseline),0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
1.0,Random Forest (Augmented),0.7666666666666667,0.6699166666666667,0.5961820851688694,0.7666666666666667
